method,AD-b64,IA3-attnmlp,L-r16-qkvo,L-r8-mlp,L-r8-qv
random,39.86785,38.51741666666667,40.18915,38.80265,38.487474999999996
balanced_random,40.42811666666667,38.59234166666666,40.8347,40.463366666666666,39.54235833333333
length,40.23045,38.843983333333334,40.37168333333333,39.295383333333334,39.500483333333335
loss,40.764541666666666,39.278841666666665,40.218558333333334,40.0712,39.233691666666665
perplexity,40.69186666666667,39.17124166666667,41.50168333333333,40.58521666666667,39.66505
embedding_nn,41.97490833333333,40.32205,42.004799999999996,41.20965,40.951566666666665
rds_plus,42.86418333333333,40.752491666666664,42.55175,41.866275,41.12855
diversity,41.8435,40.19885,42.0608,40.99316666666667,40.05395
grad_sim,42.7466,41.14909166666666,42.895316666666666,42.09905,41.92885833333333
less,43.22734166666667,41.82221666666667,43.68158333333333,42.718525,42.21865833333333
pcu,43.360775,42.135466666666666,43.77344166666666,41.985933333333335,42.815575
